CASE-NAME,CASE-ID,YEAR,BRIEF-ID,ETHNICITY,INTEREST-GROUP(CAP)
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,ASIAN-1,A,NATIONAL ASIAN PACIFIC AMERICAN LEGAL CONSORTIUM
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,ASIAN-1,A,ASIAN PACIFIC AMERICAN LEGAL CENTER
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,ASIAN-1,A,ASIAN AMERICAN LEGAL DEFENSE AND EDUCATION FUND
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,ASIAN-1,A,ASIAN LAW CAUCUS
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-1,L,MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-1,B,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-ASIAN-1,L,AMERICAN HISPANIC OWNED RADIO ASSOCIATION
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-ASIAN-1,B,BLACK COLLEGE COMMUNICATION ASSOCIATION
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-ASIAN-1,A,MEDIA ACTION NETWORK OF ASIAN AMERICANS
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-ASIAN-1,A,NATIONAL ASIAN AMERICAN TELECOMMUNICATIONS ASSOCIATION
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-ASIAN-1,B,NATIONAL ASSOCIATION OF BLACK JOURNALISTS
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-ASIAN-1,B,NATIONAL ASSOCIATION OF BLACK OWNED BROADCASTERS
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-ASIAN-1,B,NATIONAL ASSOCIATION OF BLACK TELECOMMUNICATIONS PROFESSIONALS
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-ASIAN-1,L,NATIONAL ASSOCIATION OF HISPANIC JOURNALISTS
"INC., Petitioner, v. NORMAN Y. MINETA",00-730,2001,BLACK-LATINO-ASIAN-1,L,NATIONAL HISPANIC MEDIA COALITION
"NATIONAL RAILROAD PASSENGER CORPORATION, Petitioner, v. ABNER MORGAN",00-1614,2001,LATINO-ASIAN-1,A,ASIAN PACIFIC AMERICAN LEGAL CENTER
"NATIONAL RAILROAD PASSENGER CORPORATION, Petitioner, v. ABNER MORGAN",00-1614,2001,LATINO-ASIAN-1,L,MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND
"NATIONAL RAILROAD PASSENGER CORPORATION, Petitioner, v. ABNER MORGAN",00-1614,2001,BLACK-1,B,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE
NEW YORK STATE BOARD OF ELECTIONS,06-766,2007,ASIAN-1,A,ASIAN AMERICAN BAR ASSOCIATION OF NEW YORK
NEW YORK STATE BOARD OF ELECTIONS,06-766,2007,BLACK-LATINO-ASIAN-1,A,ASIAN AMERICAN LEGAL DEFENSE AND EDUCATION FUND
NEW YORK STATE BOARD OF ELECTIONS,06-766,2007,BLACK-LATINO-ASIAN-1,L,PUERTO RICAN LEGAL DEFENSE AND EDUCATION FUND
NEW YORK STATE BOARD OF ELECTIONS,06-766,2007,BLACK-LATINO-ASIAN-1,L,HISPANIC NATIONAL BAR ASSOCIATION
NEW YORK STATE BOARD OF ELECTIONS,06-766,2007,BLACK-LATINO-ASIAN-1,L,PUERTO RICAN BAR ASSOCIATION
NEW YORK STATE BOARD OF ELECTIONS,06-766,2007,BLACK-LATINO-ASIAN-1,L,LATINO LAWYERS ASSOCIATION OF QUEENS COUNTY
NEW YORK STATE BOARD OF ELECTIONS,06-766,2007,BLACK-LATINO-ASIAN-1,B,AMISTAD BLACK BAR ASSOCIATION OF LONG ISLAND
NEW YORK STATE BOARD OF ELECTIONS,06-766,2007,BLACK-LATINO-ASIAN-1,B,ROCHESTER BLACK BAR ASSOCIATION
NEW YORK STATE BOARD OF ELECTIONS,06-766,2007,BLACK-1,B,MID-MANHATTAN BRANCH OF THE NAACP
NEW YORK STATE BOARD OF ELECTIONS,06-766,2007,BLACK-1,B,METROPOLITAN BLACK BAR ASSOCIATION
BARTLETT v. STRICKLAND,07-689,2008,BLACK-ASIAN-1,B,NAACP LEGAL DEFENSE AND EDUCATIONAL FUND
BARTLETT v. STRICKLAND,07-689,2008,BLACK-ASIAN-1,A,NORTH AMERICAN SOUTH ASIAN BAR ASSOCIATION
BARTLETT v. STRICKLAND,07-689,2008,LATINO-ASIAN-1,L,MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND
BARTLETT v. STRICKLAND,07-689,2008,LATINO-ASIAN-1,A,ASIAN AMERICAN JUSTICE CENTER
BARTLETT v. STRICKLAND,07-689,2008,BLACK-1,B,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE
PERDUE V. KENNY,08-970,2009,BLACK-LATINO-1,B,NATIONAL URBAN LEAGUE
PERDUE V. KENNY,08-970,2009,BLACK-LATINO-1,L,MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATION FUND
PERDUE V. KENNY,08-970,2009,LATINO-1,L,NAACP LEGAL DEFENSE AND EDUCATIONAL FUND
FISHER V. UTA,11-345,2012,ASIAN-1,A,ASIAN AMERICAN LEGAL DEFENSE AND EDUCATION FUND
FISHER V. UTA,11-345,2012,ASIAN-1,A,ASIAN/ASIAN AMERICAN FACULTY AND STAFF ASSOCIATION OF THE UNIVERSITY OF TEXAS AT AUSTIN
FISHER V. UTA,11-345,2012,ASIAN-1,A,ASIAN DESI PACIFIC ISLANDER AMERICAN COLLECTIVE OF THE UNIVERSITY OF TEXAS AT AUSTIN
FISHER V. UTA,11-345,2012,LATINO-ASIAN-1,L,HISPANIC NATIONAL BAR ASSOCIATION
FISHER V. UTA,11-345,2012,LATINO-ASIAN-1,A,NATIONAL ASIAN PACIFIC AMERICAN BAR ASSOCIATION
FISHER V. UTA,11-345,2012,LATINO-1,L,ASPIRA
FISHER V. UTA,11-345,2012,LATINO-1,L,CUBAN AMERICAN NATIONAL COUNCIL
FISHER V. UTA,11-345,2012,LATINO-1,L,DOMINICAN AMERICAN NATIONAL ROUNDTABLE (DANR)/NATIONAL DOMINICAN AMERICAN COUNCIL (NDAC)
FISHER V. UTA,11-345,2012,LATINO-1,L,FOR PEOPLE OF COLOR
FISHER V. UTA,11-345,2012,LATINO-1,L,HISPANIC ASSOCIATION OF COLLEGES & UNIVERSITIES
FISHER V. UTA,11-345,2012,LATINO-1,L,HISPANIC FEDERATION
FISHER V. UTA,11-345,2012,LATINO-1,L,LABOR COUNCIL FOR LATIN AMERICAN ADVANCEMENT
FISHER V. UTA,11-345,2012,LATINO-1,L,LATINOJUSTICE PRLDEF
FISHER V. UTA,11-345,2012,LATINO-1,L,LEAGUE OF UNITED LATIN AMERICAN CITIZENS
FISHER V. UTA,11-345,2012,LATINO-1,L,MANA
FISHER V. UTA,11-345,2012,LATINO-1,L,MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND
FISHER V. UTA,11-345,2012,LATINO-1,L,NATIONAL ASSOCIATION OF HISPANIC PUBLICATIONS
FISHER V. UTA,11-345,2012,LATINO-1,L,NATIONAL ASSOCIATION OF LATINO ELECTED AND APPOINTED OFFICIALS
FISHER V. UTA,11-345,2012,LATINO-1,L,NATIONAL CONFERENCE OF PUERTO RICAN WOMEN
FISHER V. UTA,11-345,2012,LATINO-1,L,NATIONAL COUNCIL OF LA RAZA
FISHER V. UTA,11-345,2012,LATINO-1,L,NATIONAL HISPANIC MEDIA COALITION
FISHER V. UTA,11-345,2012,LATINO-1,L,NATIONAL LATINA INSTITUTE FOR REPRODUCTIVE HEALTH
FISHER V. UTA,11-345,2012,LATINO-1,L,NATIONAL ORGANIZATION FOR MEXICAN AMERICAN RIGHTS
FISHER V. UTA,11-345,2012,LATINO-1,L,NATIONAL PUERTO RICAN COALITION
FISHER V. UTA,11-345,2012,LATINO-1,L,SER - NATIONAL
FISHER V. UTA,11-345,2012,LATINO-1,L,UNITED STATES HISPANIC CHAMBER OF COMMERCE
FISHER V. UTA,11-345,2012,LATINO-1,L,UNITED STATES HISPANIC LEADERSHIP INSTITUTE
FISHER V. UTA,11-345,2012,BLACK-1,B,BLACK STUDENT ALLIANCE AT THE UNIVERSITY OF TEXAS AT AUSTIN
